L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
319718942,442,208432,585232,11772741,553191,156253,4622,551907,214891,8697015632,21447541263,2500453684
300503407,438,244863,358760,23708625,532258,89428,33295,526911,278695,8736406712,21770730966,2500431488
311763645,372,280652,464593,12410855,581897,148257,19610,585214,131138,9091621838,21928974095,2500326136
321599831,508,328617,214602,23811407,548751,133263,46060,555261,262177,9131565575,22323599367,2500494165
291210977,615,359362,50503,19955989,620682,119935,44650,631922,504436,8914688715,21865621878,2500374341
318946189,673,279236,260928,15123950,672356,132287,14791,683831,512037,8805977189,21429633165,2500558378
295362160,724,534336,227658,23441476,646035,106449,36554,645335,534614,8721985029,21367869406,2500364565
329192541,596,276810,90891,11967713,495868,169335,34414,518924,529468,9223742742,22887538500,2500352683
312658887,696,288297,439154,26145618,467207,107331,30160,473522,443569,9092493234,22302829341,2500396511
343651975,523,269999,415111,10093530,517594,152165,2764,532369,234894,9097827676,22179057037,2500363093
38158380,221,35985,91032,1976473,109057,38841,2007,93910,951,1286742399,3036778631,354251810
331105376,8375,1253019,182189,26841522,544354,145489,310323,545408,462456,10819063270,25791186331,3000104502
358965747,1445,479418,296354,22361605,813997,144588,39730,829741,449890,10551090165,24834993607,3000290232
370006980,1304,462344,498541,16755989,743535,191333,26270,734619,242288,10733219645,25329387974,3000292805
348423677,1245,429997,383142,26326431,600424,127678,37149,625567,289136,10521099793,25260942411,3000275853
362882845,887,734983,573889,15900564,665816,154839,12468,665643,475045,10500185045,25440375604,3000248254
378320884,1188,195989,189878,24129656,587915,141230,28299,612389,690466,11001009234,27091956020,3000288918
399701088,1047,158779,480502,28567006,522166,143722,42476,565302,507554,11264536594,28335548659,3000275145
405517442,906,176474,455866,23097944,525117,147043,29921,524528,463270,11264360570,28069620145,3000349858
398925158,816,163903,522935,17639943,561766,178334,21893,528277,19376,11267459266,28100258263,3000296671
75015851,2331,45055,42884,2947950,119197,38595,1016,114870,277928,2038074146,4938359386,542119834
563579733,6792,778600,452376,34399001,802108,251440,290474,808952,220046,16863029680,41756160969,4500106230
587154364,1358,240684,942429,33877724,788108,220158,31681,732584,284842,16894977420,41984515560,4500340401
586032189,1262,234411,755891,36638793,803132,235437,62027,760558,387511,16913917943,42185248217,4500278815
600608864,1495,230716,500388,38660472,757280,218831,59544,810278,908214,16866548788,41965840843,4500320537
588048381,1523,242853,531727,38211579,817364,220686,52474,815366,688059,16904052713,42158985483,4500282689
474940884,2605,181389,440514,22082384,666684,219825,40917,731873,456020,13476922502,33446333958,3598487555
673344769,11759,859645,635363,49404121,930955,265647,298389,951828,270991,20655942851,51304246074,5500107382
723392116,1863,292608,1191660,42528175,952376,284574,40301,916335,287928,20628936444,51192629673,5500334446
704559687,2101,298255,760977,38642805,939851,290952,59975,931808,591036,20233729377,50284334124,5500592301
729630759,1877,290700,479528,38831509,962173,307809,64732,984676,868690,20469920506,50998881136,5500317659
558205318,1844,216736,618306,34369244,760770,231035,62005,761748,520463,15918461920,39742080027,4239419004
713749148,4826,817532,548001,54008826,891812,264988,310809,912752,849341,22493620429,53449709832,6000107264
