L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
764884,251,194079,233,2014032,89650,55089,94,95927,103,189824612,313197542,50377123
817555,159,173025,84,2014705,83705,54649,141,83243,66,188661220,314593730,50300362
861811,201,231009,122,2049868,86540,58237,182,86927,254,189403408,312232573,50322565
875240,41,242767,119,2025772,90488,62307,123,89986,182,189792044,307502796,50322847
869536,123,230513,161,2000613,91275,60113,123,80694,396,190544351,310135173,50334440
872935,79,225384,96,2022690,93031,63986,140,96033,135,189783494,309105791,50291606
871059,140,208175,98,2119484,86960,63040,192,86138,152,189687380,306666170,50333721
869471,186,217638,123,2043476,82045,55512,115,86380,82,189502869,309972858,50290116
788227,109,182684,230,1981843,82560,61712,170,83522,173,189033176,318063530,50322477
793084,263,200607,651,1943548,111493,58334,104,92308,247,184911110,296917291,50268904
770557,196,147129,83,1976276,80340,56319,142,85143,148,186775659,301443876,50361758
798662,152,166975,75,1978454,92562,58346,109,92488,134,189380188,311867297,50298998
823358,210,158920,130,1809774,89551,65832,191,90827,112,188801300,309501877,50337879
786475,183,193634,71,2083423,74078,53834,166,71997,105,189171876,317620954,50294267
794326,151,151357,74,2019635,89318,64477,217,77707,248,188852958,317407677,50322906
796262,133,124214,202,2204114,88021,57042,78,88250,18,189034664,311679424,50298580
745877,162,145688,38,1926893,82756,59020,113,85451,106,189035457,318429868,50322677
802495,193,151665,72,2035794,91819,68292,131,88411,163,189474704,311746975,50283271
815566,166,156143,131,2064891,77198,57181,138,84205,50,189320523,312117800,50327414
741770,252,146364,61,1979858,70049,55398,166,65528,31,188907447,318251337,50288224
779477,179,156084,355,1954239,81360,60055,144,82335,47,190216990,312561377,50322512
755084,165,120061,190,2020211,102966,57519,129,88795,91,188414921,307617820,50410181
798171,136,182557,59,2084896,94731,63731,141,90740,53,189676142,305433184,50342265
791828,148,149501,208,2051109,88017,66132,119,103755,53,188659628,301181404,50299782
804928,310,178716,127,1982606,83420,62177,96,88150,135,189351596,309851865,50329119
800148,169,146436,98,2171714,97307,60857,134,88741,34,189452158,309274386,50287994
771228,266,127450,343,1828635,97855,60535,104,92327,75,189521582,309504676,50296325
745288,194,154599,69,1873516,83529,58536,131,78220,135,184393701,307081510,50294357
795585,100,151009,197,2017873,86256,58685,184,85719,368,189587681,314052382,50327895
804177,129,171345,79,2034474,76132,55964,123,80893,74,189153098,315947785,50302200
832963,125,175784,73,2064372,84690,59632,120,96091,63,189879443,305900211,50323731
768657,139,130070,104,1885065,95842,51070,100,101081,255,187169712,309777690,50292067
759628,204,186628,136,2079845,93363,62317,141,97333,367,182979867,292764284,50335351
756272,288,140522,232,1929224,80976,56935,194,72062,63,187726455,310161275,50298248
813077,145,127662,121,1953860,81405,60900,207,71784,88,189066380,312437857,50329309
779460,170,162208,122,1963916,84574,62437,232,80925,138,188754692,311211053,50297092
818955,118,166956,107,2024939,89659,61484,172,87399,144,189993539,308913800,50327130
765251,246,187827,285,1918911,73924,58066,204,75299,333,188916413,321224243,50293810
785964,187,184377,147,1884558,65994,53910,204,67037,62,189608789,324970268,50318608
793509,185,188898,55,1937149,86677,63547,166,81343,103,189171897,313559198,50289578
780811,261,161663,107,1846095,85021,67376,213,83933,141,189075034,315165657,50332881
682178,390,203154,694,1825851,111663,56753,157,115830,1505,175974960,270832187,50293720
655050,346,185994,196,1738244,87258,54895,182,96082,2163,174058910,278447749,50323512
752139,195,247497,318,1720571,94124,50809,110,101912,311,186933786,303262020,50383700
805048,161,177199,73,2105405,91670,57965,91,95692,320,189943763,306751484,50338428
829937,79,208861,41,2142467,81870,54743,109,84566,91,189175057,315731404,50288300
833295,163,206968,220,2130712,86265,56156,129,83592,179,190162616,310043177,50331697
826112,167,122358,71,2202706,93878,62882,68,92506,40,189677929,307064933,50258382
866969,224,138138,35,2054728,102026,67243,79,97907,17,189489412,309293273,50322097
857435,43,130480,113,2047786,96081,63536,74,98376,126,189697105,307736470,50300062
775927,159,158837,140,1837367,68629,55174,225,69096,41,187302281,317233300,50312740
707225,333,168593,121,1682282,66525,57713,207,68877,107,186859879,328394505,50294823
743723,221,269152,119,1659314,75930,56464,179,80800,216,187422024,321835248,50336377
674865,447,158416,285,1697573,70216,53461,213,69676,189,182860534,315918822,50295416
756531,214,188346,176,1777343,83677,61790,169,87420,60,188498967,326455790,50339508
765474,292,171451,68,1628386,70162,61980,194,82011,425,188646922,323234826,50290647
8664463,116,102485,2138447,1524893,59985,32294,171486,1898,13667438,188359852,75838849,50352621
4585087,271,112211,8536779,652182,67946,51784,173,107332,522,189616763,282127347,50426797
785266,424,315406,338,1813109,92216,58535,138,87957,201,189334144,328471023,50326747
831890,225,301088,275,1836814,90844,61419,179,87302,465,190093992,327366871,50323570
856550,296,281279,279,1670192,88390,61139,132,99517,512,189374364,324037271,50333948
813713,93,297006,252,1762276,95424,60931,110,87695,295,190209871,327338495,50329260
770423,54,325479,370,1915876,72799,51522,97,75768,191,190498339,328855476,50322160
803688,144,293447,158,1873019,92289,63957,195,89043,559,189940937,321599921,50328400
790383,138,290063,342,1881795,77840,53788,128,79855,251,190215414,323675372,50321683
765271,375,298313,274,1709768,105453,59932,145,119471,506,186909659,314199495,50356868
751068,150,353839,666,1863685,95316,64245,118,95953,232,190137623,330345148,50305886
790012,62,370896,521,1957358,104336,66764,145,94596,455,188855677,312261066,50296467
828694,111,310522,226,1894056,90553,63641,255,92255,438,190108181,311206452,50306013
745876,194,299007,569,1670169,89360,59827,209,76833,310,176243693,294841069,50269951
743163,245,357785,538,1676043,110783,61937,148,111336,1387,174827369,282644641,50297287
793612,226,258302,440,1744971,94070,62592,214,101748,566,174807245,284986742,50303348
693312,363,283986,314,1511271,92153,48589,86,98821,422,169834410,289865245,50317567
729503,355,222448,406,1627253,86602,47164,169,88018,332,174411505,293479776,50301556
725018,311,254770,268,1556755,88670,54150,128,97489,332,174111891,295824861,50279394
752106,252,292155,389,1843953,82522,54496,150,96712,1441,185384022,315040761,50315444
763045,242,389431,761,1891332,111630,70289,135,107759,568,184563394,306202798,50290356
761711,218,349429,585,1692292,107526,64084,166,114515,1147,187979702,300511398,50284952
780655,166,346520,458,1760558,97837,60566,138,89123,598,175410046,290539008,50380147
796863,323,370932,470,1844159,91415,55598,119,96454,524,177157569,293337608,50294151
