L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
31624659,14613,683027,514040,19863698,12991221,7782567,138845,477081,12930187,2992493831,2024991691,1500997328
31856578,19352,837144,520067,19787507,12971938,7831797,146099,482605,12974959,3022314196,2029959996,1500951432
31435804,16706,853060,477353,19694087,13119227,7834814,139101,528735,13075394,3001685995,2007719156,1500765797
27765508,15672,1105725,418352,16863601,12246067,6880107,130246,429775,12241084,2871172955,1744118597,1500941999
24723684,17952,1300158,380788,14556404,11282914,5930605,127052,395925,10954012,2582722797,1449678555,1501738922
30767235,13888,755476,459670,18713089,12360295,7417692,136608,456425,12427689,2838120453,1911700343,1501103659
27361621,16854,1677564,465835,18799518,11142626,6471222,127101,415462,11112403,2940170349,1978620568,1500939543
35371667,10586,580518,520222,21967150,12306479,8662446,163817,584251,12318070,3065223535,2292377078,1500974891
32551968,14022,1087384,508311,19384317,11993573,7790147,158724,468569,12031432,3015870158,2024368038,1500646072
31292791,18003,1236454,486939,18037416,11945951,7291970,149251,449621,12155020,2898043868,1909806213,1500685092
6716255,2869,713000,1299151,72043227,593049,61571,372825,1474764,518016,4070828058,4817871634,1500807632
326525,259,17262,1232421,18014,7928,4298,21,2610,10961,396318248,888167222,158930610
13817717,8865,4044746,1087580,33690791,1909039,567242,1874732,1021878,1789854,5024368369,6718245916,2000096301
43324362,13192,1707511,271653,50050295,6544948,4454331,137855,258948,6702912,4882107839,6789051259,2001221017
35186621,13083,2975367,586154,32710137,8163053,4022207,135858,588940,8282537,4539416896,4681299978,2001524643
32613622,13709,2722275,566790,27945091,8325479,4108169,131589,559681,8323876,4143786269,4081548444,2001275179
48614235,17648,1715778,435271,50470398,9484878,6501881,151420,401842,9314699,5072362824,6550897831,2000979265
46553890,14716,2054132,415162,49909578,9365173,5261521,128598,413620,9146726,4754167046,4711048544,2000708257
37926561,12979,2658553,481606,32612671,8090393,2827447,108028,543626,8149201,4460134504,4341052668,2000691894
55288410,9649,1233133,632103,38709594,4484653,1245978,69462,598318,4475992,5129610551,8554212419,2005026885
56167464,7956,1938792,582837,24899574,6834146,1550513,74705,563378,6685221,4522675156,5870915356,2000722226
63141845,8742,1436762,504986,32019992,5934209,1793445,84771,526791,6025003,4941580394,7773564767,2000999179
59962662,14267,1600877,488879,43833075,9346050,4676445,133355,491133,9460128,4864766681,5916350811,2000711658
59172568,15727,1488050,404751,58156955,12829089,8650254,150043,370966,12989003,5165219528,5134109580,2000813988
59356172,15805,1196941,389002,59112370,12884522,8756970,153268,365307,12980843,5150261819,5091807406,2000693224
42281493,13317,1843916,531664,36460675,11983488,6721808,148257,495872,11971705,4272085656,3215060689,2000607495
46224276,12434,1194466,627689,48380824,9322160,5203376,104332,599737,8841050,4816415816,6181929957,2000800317
65755970,6547,360808,497816,64393161,9956119,7610520,136192,517394,9708077,5429027876,7613776224,2000544888
38216058,9675,2241141,788421,35639608,10354544,5261978,162851,2710930,10220157,4082446353,3145960427,2000520485
15869739,8126,2089521,839795,39593855,1979857,727391,1662565,1386371,1947550,5196757501,7499974556,2000638286
52454080,16359,847446,391882,39039258,16083527,11780130,254593,385022,16016629,4653910839,4195936518,2000703845
52702848,10437,859591,817004,32983008,17170735,12842387,251407,736825,17189245,4413089717,3346763308,2000874907
57345851,7574,322600,893574,36664554,17608078,14287269,258488,822655,17653336,4619128857,3762248866,2000779248
56925579,8842,434154,810143,38151038,17693181,14127403,245173,861388,17630016,4764078978,4109717057,2000790457
52909785,12571,742929,764845,33803569,17382862,13156766,253766,880483,17484167,4476635252,3444694789,2000780511
34538708,15933,1987215,523341,20890774,14534733,8386209,198620,576510,14497693,3738283762,1984750433,2000910019
56397568,8633,359576,849411,36301767,17765027,14175734,260625,821596,17486215,4542715853,3730990521,2000770637
57199844,5894,222612,861008,38636290,17377303,14180093,245278,871742,17415513,4785129965,4136850805,2000813931
39176713,15092,1676772,579563,23497709,15471929,9551393,219093,562711,15111243,3986910270,2355762308,2000823979
36966033,15727,949711,1080296,53193224,12018421,8173027,174372,1133344,11825948,4572285119,3855737626,2001949908
4228100,1293,242654,463481,38502152,332947,39151,133584,2232455,173359,2464105866,3754741296,906800283
36703227,9630,2570591,960378,60123541,4165682,3174687,1968280,1055684,4310589,6666776087,10657268282,2500127611
72236212,5639,1210993,191248,78674029,7158540,7457049,173214,171615,7119559,6936675503,11306759417,2500760078
67991645,9254,1410361,337824,72595121,10275916,8578996,192629,333464,10466511,6575347006,8775155864,2500714901
78073497,12652,1221956,304820,76209096,7870218,5662327,140259,238535,8447246,6817584770,10735209738,2500788454
85158080,8395,1585669,468529,47841690,5920546,2028273,107616,485443,6135809,6396662254,10508271371,2500592175
54881253,8038,2849508,748137,27160990,7205900,1698553,94766,757932,7440778,5437540038,6172895641,2500498994
76959409,10950,1743818,514312,55723422,10383817,5693492,150541,500104,10299443,6272887031,8001049244,2500972430
58288647,17815,2350338,578646,55356009,15112534,8548466,184467,553256,14576759,5715241936,4866756787,2500886441
77511281,11649,1459646,412303,75418969,16124185,11748717,199053,414984,16073153,6560829724,6569015337,2521344563
67388453,13487,1280017,698789,69546767,13221841,8459046,155574,713231,12476973,6425396930,8046264895,2532029801
75691351,9148,848879,680414,74463537,12315402,8680006,172670,714769,12322309,6618717685,8513620924,2534654572
33983952,11596,2656426,1645115,56407476,6673914,3744932,1670550,2640547,6541597,6404566873,8069735509,2545145672
57206659,13035,1372784,413606,44206213,17307411,12092111,277948,429968,17658047,5699747389,5363544468,2500678798
43922688,34801,3169557,663469,24330464,18146543,10091055,257223,634172,18821500,4569040676,2552204794,2501194516
56085119,23988,1378961,857826,34198485,20823843,13687182,267771,868534,20868096,4996688009,3541566066,2550092633
