L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
10972204,254,1589964,0,427503,376,112,3,367,0,189232000,472457729,50246458
11018740,237,1707333,13,366127,203,178,6,59,0,188859364,475428022,50255536
11575581,185,1713183,11,380088,3,113,9,3,0,189359780,477368534,50252156
8322439,880,1266887,1026,254523,2,64,0,11,2,144269057,358016620,38387053
9967283,2297,871637,198,920999,1844,87,0,78,0,373266669,1009863232,100104871
12869575,600,706729,15,1011070,275,219,3,297,53,375389863,978239965,100304971
16351459,640,1634904,3,1456336,220,224,0,56,0,377367658,897913656,100431285
16757029,781,1827518,4,1606721,13,298,0,6,0,378788833,886620210,100256775
16329796,669,1871217,0,1611942,587,343,16,784,0,376287380,879285190,100252432
17252316,649,2051483,0,1689534,21,163,8,16,0,377218088,872754693,100266692
17854250,682,2156038,0,1595464,6,307,2,8,2,376603162,867695000,100253001
18511797,598,2362934,0,1803640,28,216,12,2,0,376420841,859702464,100249800
19535723,548,2617554,0,1684238,372,576,6,0,0,376751561,867321184,100255282
19691671,622,2736023,30,1598727,2310,573,15,2822,222,374616640,849668517,100254057
19373248,733,2840811,44,1485776,566,616,9,262,15,369841896,838360350,100272855
19948431,556,2838789,0,1510433,21,542,6,31,0,376893269,868988181,100274878
19912758,571,2787382,3,1604524,8,513,3,3,0,377721299,866618174,100250795
19988857,672,2673972,0,1472922,2,258,3,0,0,378629170,877005855,100247215
19617175,588,2577488,129,1491459,937,610,8,360,18,379164945,865290577,100254393
19633739,551,2487756,0,1339627,44,442,8,23,0,377492949,872784688,100264997
19850184,611,2542083,0,1365540,1084,520,33,1357,5,374749711,868761870,100255559
20027886,611,2586789,0,1459126,62,573,5,19,0,376369881,871011227,100270995
19679890,620,2581401,0,1466672,379,372,3,11,0,375682808,867227694,100249981
19773605,606,2584564,0,1406459,47,545,6,15,0,375950146,873655130,100287830
19408285,853,2784391,71,1226169,1308,582,12,378,0,374245157,866450498,100255956
18776144,740,2590532,61,1256763,401,213,0,3439,259,361390509,831616268,100272267
19864061,550,2775693,251,1138823,557,282,3,404,0,377251236,904305981,100276811
20236950,681,2785967,0,1249451,105,256,3,78,0,376895937,890439012,100268340
19813357,536,2864907,399,1140628,475,370,0,213,0,377201575,860970141,100259658
20584484,613,3058174,0,1206905,317,262,6,159,0,378123586,898310944,100275414
21349124,534,3145419,0,1055931,118,436,2,39,0,378221699,911097241,100255293
20402825,620,3127958,0,1066805,43,334,0,63,0,377781784,909503549,100249528
20748007,484,3021408,16,1002454,551,139,2,1398,138,375038932,913458870,100257299
21661197,767,3426905,434,796896,959,219,11,254,19,375893537,925533277,100268086
21699778,799,3248603,16,887875,410,335,6,129,11,377909155,925375817,100275291
21307931,867,3167844,21,857462,153,341,12,90,0,377342200,925523375,100261127
21796719,658,3175010,0,760509,3,197,9,0,0,377184753,935585869,100251370
18700537,1036,2789467,110,615737,2,121,13,3030,969,312667687,769376314,84812268
23040291,3050,1575232,358,1920476,4905,643,59,433,0,746782579,1993103293,200104858
33045139,1134,3352232,0,3033440,221,557,2,106,0,756896883,1798853024,200250131
33588643,1276,3915899,0,3348012,11,615,13,343,5,754043485,1758808444,200248668
36003019,1356,4557398,0,3387222,137,553,17,364,36,746239953,1715012077,200259668
39419285,1054,5428844,0,3406457,28,700,9,37,0,753312493,1736552498,200263068
39796373,1081,5713739,3,3244356,78,991,0,87,0,749906648,1745010578,200256164
39921580,1070,5420232,0,2923187,29,862,3,12,0,754863840,1747016792,200253887
39361841,1101,5074925,0,2932668,415,698,2,21,0,754558909,1756048906,200248929
39891887,1126,5204668,0,2925101,56,775,5,99,0,751853136,1753510681,200255686
39497587,1047,5271268,0,2980671,71,625,3,16,0,747529875,1742058669,200249816
40295019,1073,5375050,0,2617229,15,538,3,15,3,752236732,1789678508,200251498
41121669,1163,5408617,0,2408100,12,381,0,18,0,754798739,1805181298,200254488
41427915,1130,6137620,0,2340602,290,728,0,34,0,756534046,1814613502,200248284
41900596,1072,6159198,0,2147498,13,778,0,24,0,755143458,1843297024,200249536
43541289,1141,6525267,0,1814896,24,371,5,5,0,752132258,1859611111,200254031
42807525,1172,6605563,0,1705441,15,603,3,26,0,751158878,1869764352,200249807
31838756,1474,4553736,95,1051212,0,285,11,2,443,534864597,1338653286,142860682
88597412,7099,8545529,269,8193692,2506,1634,41,139,0,2251162811,5477960704,600100494
115093778,4769,15560644,4,9524381,56,2542,30,47,0,2254214368,5158797220,600281726
118378065,4567,15588788,3,8685542,17,2293,23,12,3,2257439909,5203388101,600257648
120268428,4350,15893062,8,7704741,56,1650,6,56,0,2254406309,5287190881,600284466
126060603,4286,18589436,3,6306980,103,1670,2,124,12,2260160758,5445950641,600279587
82804276,2770,12350962,83,3031359,2142,1072,24,2175,0,1429011911,3513442864,381365942
117302696,7174,11865880,534,10746140,3518,2964,46,2828,596,2803787540,6785970019,750104511
148264341,5966,20397397,213,11394269,3097,3799,25,1250,12,2824152597,6515138082,750294383
150493242,5079,19436910,0,10352648,45,2544,5,64,0,2820365917,6624097377,750318831
158630294,5604,22923332,0,8184108,43,1788,29,260,0,2827456408,6866836541,750276377
78671935,2908,11703373,263,2912773,12,1212,9,14,0,1339354070,3333425792,356172767
125779493,6990,13347079,645,11387965,4787,2329,29,2383,371,2989783315,7165337487,800125723
158803055,4260,21779201,7,12343743,44,3061,27,31,0,3009405107,6961219354,800299873
160720692,4862,21529304,4,10839408,92,2378,8,61,0,3006904140,7098858215,800253513
