L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
25262452,34397,7183785,119848,1796,118326,3814,3525,85788,249707,188269241,264157185,50313275
21382366,10536,4023025,561334,2452,254182,10579,185,252997,56639,188634838,217227089,50290034
23460667,42226,7305912,114521,1990,174685,5033,3558,86110,242953,186384855,265376815,50298787
21814934,555,1119793,586582,8166,238826,8707,264,301407,33294,187936519,198960367,50335900
24004488,57218,9757031,151267,3171,235164,6846,2713,85894,247804,189105729,273694111,50312725
21868418,498,16097,111982,9571,227421,17630,618,288249,399,189313647,205799239,50312523
19620985,662,985426,1312572,15338,249065,3817,2648,87690,113715,188519173,272818170,50312556
26107696,51016,10597935,113469,2864,336238,11943,1566,173777,209110,190026844,297718392,50308743
25736484,20883,7254982,673229,3260,73291,7698,2904,139380,129779,189734388,265063933,50298349
33048837,22369,2638225,5435,2628,286712,52299,9500,99288,181463,189385990,274294630,50308720
27785178,42686,13511422,227902,1694,74622,3973,3642,145486,805830,187580356,291657860,50306523
33478384,76,8299,32596,25217,125013,26219,9595,184138,96306,180205168,283766856,50278394
24584567,13867,1444477,204684,65980,398191,24320,34309,347811,188530,187792710,305606302,50297469
29752476,40018,11176954,258014,2549,234371,11497,333,344999,26368,188250482,269713799,50287689
23736947,24063,3507437,76492,14467,158364,19280,17775,75809,253832,187256298,279010033,50300760
26417925,29486,8802606,178748,3619,312146,13940,6,347589,235,188990227,256341442,50312166
23826267,33838,5622514,600284,9863,143353,15128,3470,77828,262204,185593631,271376560,50296262
23946042,19408,4286491,125526,3152,394497,11786,0,354055,279,186923286,215469059,50282456
18720651,657,87799,680325,10444,134416,3642,1925,78382,116002,189396032,276860386,50315181
24488262,47757,9967279,757652,2553,86636,3664,3482,85031,251713,190102634,274713844,50347606
23024296,515,116048,511880,7235,307968,11088,3,308782,36741,189756638,208635663,50321243
23988878,53143,9778905,176451,2322,130188,3735,3499,85614,248616,189190268,273400256,50313373
20247324,535,11955,80057,7501,316573,16832,6,315676,317,186582276,195297606,50297806
23882055,61186,12407328,649417,4819,192051,10940,3197,84926,243220,188104678,270486334,50362443
23782457,518,12260,54987,9083,279110,12955,751,313652,374,188469246,225356714,50354305
21128123,234,196577,1114370,41296,416991,26873,9758,92460,111988,189003749,291919693,50321888
25990290,63607,12340380,177036,3239,309008,9682,2252,111562,244492,188754838,298056484,50318987
29666827,4407,3273194,630848,7218,91838,6832,1686,264986,48184,185575558,255257327,50285118
