L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
66034789,15134,2483576,2181657,8850185,13780094,8598288,1081195,2175748,13805864,2147820749,1675952517,1000643121
65905546,8372,2498252,2154121,8860310,13778022,8560414,1092086,2217270,13815214,2155720418,1688076003,1000628505
65264483,11872,2446629,2276133,8573548,13740808,8507407,1122054,2273149,13588149,2126105523,1671455243,1001189231
64118770,19173,2392565,2232934,8629624,13503170,8389990,1103625,2220541,13467990,2111765137,1650175350,1000649281
66228893,12967,2869237,2328535,8934075,14016496,8689030,1163252,2354043,13976407,2190070068,1691471079,1000853360
66196193,10066,2516704,2350678,8810855,13988397,8670352,1151954,2323208,13947275,2186199667,1706685792,1000840138
65005866,27046,2519690,2301495,8673449,13726726,8441190,1119685,2286111,13719484,2140015026,1670333834,1000753472
65193951,17404,2465024,2259004,8652719,13729897,8497016,1128668,2275820,13599626,2142593132,1678977466,1001123695
65359049,10799,2831487,2277210,8821256,13650705,8461687,1139027,2312920,13698635,2161635998,1693667806,1000627175
66029963,8031,2602084,2340403,8907507,13948488,8627701,1155768,2344322,13885772,2188026811,1718611253,1000853629
66244394,11156,2612417,2331808,8833147,13944982,8697086,1160369,2348198,13927403,2186654882,1713713285,1000833085
66253942,10937,2545609,2325095,8877637,14010372,8698070,1144492,2342206,14029598,2188498455,1709623533,1000833271
65654897,11261,2599096,2282662,8816492,13820260,8533929,1126243,2270598,13781929,2172720798,1707430964,1000852139
66748902,8808,2820602,1992111,9180385,13767920,8653959,1024189,1999269,13835293,2195918201,1752164197,1000827799
67645468,9363,2740327,2073608,9064511,13947692,8808522,1050027,2054422,13981891,2193026632,1742510760,1000801250
64915359,11074,2553979,2262415,8634561,13653302,8504124,1121838,2261459,13716488,2132292300,1671046217,1000893381
36109566,19614,9776034,911140,6328965,8004997,4812056,556249,864322,8133974,2387674030,3592413653,1000939300
14578095,3001,59293,157298,1009585,4841579,2508992,364312,148621,4571952,606919638,612108810,344241513
74323616,102519,33857067,1674648,10917330,8282248,4421020,880506,1596605,9031188,3157775377,4352431643,1200085831
77874302,73435,6186757,2799903,10438436,15966982,9511501,1265547,2796042,15919840,2688358452,2110692183,1201197262
46106939,123616,7985771,2002987,5547029,14184926,5837400,768475,2038428,14294531,2292110856,1023296532,1201371930
43657484,102117,6446617,1717894,5783825,12745721,5396697,683386,1718983,12758508,2016087345,1023362154,1201230976
52538781,94949,6182052,1932884,7486118,13701532,6891225,853740,1971373,13533238,2208272042,1297996464,1200610450
50364070,103482,6386752,1832676,7037557,13220563,6378508,755182,1827419,13333292,2153536630,1256631482,1200992522
37011673,88180,7576844,1432550,5801203,11270041,4702583,569603,1491181,11408568,2234728451,886180279,1200888747
73124779,30277,3150046,2370721,9941198,15257602,9578251,1206728,2384465,15210396,2381969776,1885076526,1200645418
72773390,23139,2866480,2511567,9663605,14976466,9484380,1253433,2502110,14873796,2329573980,1852458539,1201046768
70981298,35616,3721409,2407963,9519040,14726892,9135129,1190714,2397759,14808280,2316653883,1797216294,1200903973
65860363,58488,7108793,2119093,9825265,14634109,8775424,1059528,2157022,14621302,2436810342,1648580864,1200886879
67705160,48387,4221670,2232525,9118186,14538014,8888836,1122051,2225961,14635075,2362932447,1722657364,1200890045
67827931,60186,4644606,2154141,9034798,14764746,8975850,1106631,2180454,14640349,2345423292,1743693447,1200935321
56286160,107935,7009393,2004024,7962016,14044190,7365501,889525,2000648,13951983,2278678244,1406990346,1200852732
43339002,115317,11632111,1807656,7635933,13615506,5769947,685246,1759357,12697030,2513945929,979026581,1200859534
39188006,110646,13755905,1627171,7424970,12013950,4611477,542699,1564045,11910458,2468186501,840277136,1200858270
49554698,100271,9690291,1845787,7862333,13429209,6233505,733174,1780612,13301200,2456503433,1172982521,1201759516
54137134,103324,10136531,1932374,8655064,14080902,6694811,798699,1942128,14188374,2611473704,1292370947,1200763919
79314120,35164,4056142,2394207,10979958,16483942,10411326,1257803,2402754,16609892,2631832213,2060684966,1200864339
81518636,37245,3794156,2422855,11491801,16495279,10578879,1263438,2387804,16274502,2737859351,2097232173,1200568792
81913165,26034,3754623,2507298,11434025,16844996,10821902,1293497,2475017,16626409,2743322546,2117392395,1200750082
81110461,31851,3712190,2425916,11132340,16697733,10594445,1263107,2441449,16699904,2663419687,2091051875,1200557231
82399616,18179,3148616,2479916,11152736,17038836,10742372,1259126,2482177,17006191,2678886784,2091635350,1200635046
81416672,21504,2961763,2775132,10520890,17371283,10643610,1328566,2783962,17345862,2726755562,2022027606,1200834622
78712646,48820,3534923,2501968,11040453,17019165,10740059,1244515,2471767,16702136,2646482258,1984193446,1200829534
77898174,25580,2845621,2774909,10213746,16650274,10294670,1332551,2797504,16772002,2531724723,1920251384,1200649878
79754484,22855,3090335,2595986,10689624,16837326,10552316,1257683,2543809,16852419,2588439761,2001654513,1200725417
80278039,30209,3170153,2763808,10718908,17073937,10653849,1360068,2750743,16992059,2621432033,2025141896,1200820764
81028436,28194,3001074,2484751,10852351,16991297,10769151,1293600,2490727,16933817,2626449137,2067119366,1200865871
80287937,21053,3252124,2628526,10788988,16894159,10651797,1338757,2634865,16955406,2626668879,2051008132,1200852037
80177596,34940,3569694,2458865,10894306,16753271,10659696,1261643,2432465,16798710,2618168415,2048838174,1200878728
79972101,35676,3573620,2583449,10841671,16840901,10689128,1310788,2564220,16910184,2638455093,2060613812,1200848668
80835262,27632,3561253,2465908,10934772,16770897,10682993,1287581,2443718,16736683,2635098135,2093245421,1200849593
81080191,17063,3174375,2391129,11037974,16717149,10715346,1276027,2383448,16600037,2627222340,2104839601,1200811796
78356448,41693,3933066,2453393,10781456,16788333,10565877,1282699,2474825,16811009,2619716355,2022047750,1200815708
71594969,66524,4829152,2305842,9851363,16064627,9377815,1107810,2223850,15844888,2511368099,1825854258,1200879889
41407642,92441,5973449,1535882,5567221,12325747,5386047,638135,1540625,12279013,1997837647,1016715700,1201695590
53830820,81108,5903668,1805415,7594839,13443362,6890043,810491,1760567,13395407,2192416683,1343581102,1200899322
